Pos,Nome,Categ,Swim,Bike,Run,Total
30,RAFAEL MARSICANO CEZAR VIEIRA,30-34,00:34:36,02:31:25,01:43:42,04:56:30
41,JOÃO MARCELLO NOVAES DO NASCIMENTO  BAPTISTA,35-39,00:25:38,02:46:52,01:38:48,04:56:36
31,MAX BARBOSA,30-34,00:37:02,02:37:40,01:36:25,04:56:39
42,LUIZ GUSTAVO FREITAS NOGUEIRA,35-39,00:35:05,02:30:32,01:45:36,04:56:54
43,CARLOS EDUARDO ZAMBOLINI,35-39,00:40:41,02:37:43,01:32:25,04:56:56
32,RICARDO ARRUDA,30-34,00:31:19,02:35:59,01:44:12,04:57:02
44,THIAGO SARDINHA,35-39,00:34:45,02:44:34,01:32:22,04:57:03
31,DENNIS MACHADO,40-44,00:30:59,02:32:22,01:48:57,04:57:07
13,JOAO VICENTE GONCALVES ROCHA,25-29,00:27:43,02:30:31,01:53:19,04:57:10
33,BRENO FRANCO LOPES,40-44,00:38:26,02:31:03,01:41:05,04:57:19
34,CRISTIAN PEREIRA,40-44,00:32:37,02:33:19,01:44:09,04:57:37
45,BERNARDO TILLMANN,35-39,00:28:04,02:39:09,01:44:50,04:57:48
46,FELIPE ANTUNES,35-39,00:27:47,02:36:26,01:47:22,04:57:52
33,CÍCERO FREITAS,30-34,00:35:31,02:42:22,01:32:12,04:58:19
35,JOÃO PAULO PINHEIRO FREIRE,40-44,00:40:13,02:32:45,01:39:50,04:58:22
47,ALEXANDRE BEZERRA VERGETI,35-39,00:30:07,02:30:59,01:52:34,04:58:45
34,VINICIUS MAGALHAES,30-34,00:30:34,02:40:19,01:41:39,04:59:06
2,MARIA EDUARDA DE ARRUDA FALCÃO VASCONCELLOS,35-39,00:27:16,02:46:07,01:39:41,04:59:08
1,ALBERTO GERONIMI,55-59,00:37:20,02:31:45,01:43:02,04:59:11
3,CLAUDIO ROBERTO FERREIRA PINTO,50-54,00:32:18,02:42:35,01:39:26,04:59:27
48,KLAUS KAPUZZO,35-39,00:32:31,02:28:38,01:51:36,04:59:39
2,LARISSA FABRINI,30-34,00:37:52,02:42:41,01:33:36,04:59:44
Pos,Nome,Categ,Swim,Bike,Run,Total
18,MARCOS COSTA,45-49,00:31:48,02:37:53,01:44:28,05:00:01
49,VINICIUS LAGO,35-39,00:26:08,02:35:05,01:54:23,05:00:22
35,LUCAS FORNAZIERI,30-34,00:34:56,02:42:39,01:37:18,05:00:43
14,FELIPE PENIDO XAVIER CALABRIO,25-29,00:25:19,02:39:40,01:48:14,05:00:48
36,RICHARD BORBOREMA DA SILVA,30-34,00:30:38,02:44:08,01:39:45,05:00:57
3,ELEN CAETANO DE LIMA,35-39,00:33:26,02:48:16,01:33:26,05:01:01
15,CLAUDIO CESAR WAJDOWICZ,25-29,00:34:08,02:40:33,01:39:26,05:01:07
38,MARCIO ALEXANDRE DIAS,40-44,00:33:32,02:34:04,01:47:16,05:01:18
16,RAFAEL MORIMOTO,25-29,00:31:41,02:35:08,01:47:43,05:01:18
51,DANIEL GORGEN,35-39,00:41:24,02:37:53,01:37:12,05:01:24
37,PEDRO IVO FERREIRA GONÇAVLVES,30-34,00:31:47,02:43:09,01:40:27,05:01:27
17,JEFFERSON LUIZ DE BRITTO,25-29,00:29:16,02:38:16,01:49:16,05:01:34
38,HELENILTON LIMA,30-34,00:26:00,02:44:29,01:46:46,05:01:36
52,FLAVIO PRAJELAS,35-39,00:36:48,02:36:19,01:42:43,05:01:47
39,FABIO ESMERELLES,30-34,00:26:08,02:37:14,01:53:12,05:02:07
19,RODRIGO ANDRADE,45-49,00:27:07,02:33:43,01:53:56,05:02:10
18,VICTOR QUEIROZ DE MIRANDA,25-29,00:34:25,02:39:28,01:42:23,05:02:16
53,WALTHER LOPES,35-39,00:36:39,02:47:38,01:30:51,05:02:17
40,MATHEUS LOPES DELLA COLETTA,30-34,00:29:52,02:44:21,01:41:19,05:02:23
54,ROGERIO SCHEIDEMANTEL,35-39,00:32:54,02:41:09,01:42:04,05:02:29
4,LÍVIA BUSTAMANTE,35-39,00:34:34,02:41:16,01:42:44,05:02:42
55,ANTONIO ZANGRANDI,35-39,00:39:01,02:39:13,01:37:59,05:02:58
20,IGOR ROCHA DEL BIZZONE,25-29,00:34:30,02:39:03,01:40:26,05:02:59
20,SIDNEY BUCHMAN,45-49,00:31:26,02:40:27,01:44:34,05:03:16
41,FELIPE MURAMOTO,30-34,00:31:28,02:43:35,01:42:55,05:03:16
40,PAULO LIMA,40-44,00:31:17,02:36:22,01:48:45,05:03:38
42,DIEGO CHOHFI TURINI,30-34,00:33:23,02:43:34,01:37:59,05:03:42
42,ROMULO NASCIMENTO,30-34,00:28:14,02:46:40,01:42:24,05:03:42
7,SYAN ROUSSEAU DA COSTA,18-24,00:25:08,02:37:34,01:54:40,05:03:42
41,RENATO BECKER,40-44,00:33:59,02:38:32,01:43:45,05:03:46
Pos,Nome,Categ,Swim,Bike,Run,Total
21,LEANDRO POLO,25-29,00:38:55,02:36:17,01:40:52,05:04:06
22,DAVI FROTA,25-29,00:32:15,02:44:08,01:41:07,05:04:09
4,NAYARA LUNIERE,PRO,00:33:14,02:44:56,01:41:12,05:04:17
42,RODRIGO SEBOLLELA DUQUE ESTRADA REGIS,40-44,00:33:01,02:39:20,01:46:46,05:04:40
56,EDUARDO GRIESE SA FORTES,35-39,00:32:10,02:34:23,01:52:37,05:04:43
57,OSWALDO FERNANDES,35-39,00:36:59,02:35:40,01:45:16,05:04:55
43,WESLEY VIANA,40-44,00:41:43,02:38:43,01:35:19,05:05:02
2,LUIZ AUGUSTO DA CUNHA ANDRADE,55-59,00:36:32,02:38:31,01:41:55,05:05:17
58,LUIZ HENRIQUE  CAMPOS,35-39,00:32:24,02:37:43,01:48:29,05:05:30
24,LUCAS PORFIRIO,25-29,00:35:06,02:37:42,01:46:42,05:06:05
