Pos Categ,Nome,Categ,Sexo,Swim,Bike,Run,Total
6,MARIANA CARRARA DE MORAES,18-24,M,00:48:47,03:13:08,02:19:02,06:31:55
300,ALEXANDRE PHILIPPE BOSS JACCARD,35-39,M,00:35:58,03:18:52,02:23:07,06:32:05
15,LUIZ CASSEMIRO,60-64,M,00:45:38,02:54:23,02:32:39,06:32:11
301,RAFAEL PRETO,35-39,M,00:44:19,03:08:08,02:27:12,06:33:45
331,FABIANO MOREIRA,40-44,M,00:46:42,03:00:39,02:34:12,06:34:45
93,RAFAEL MARTINS GRIMALDI,25-29,M,00:46:28,03:17:31,02:20:24,06:37:00
308,LUIZ GUSTAVO RIBEIRO SIMÕES,35-39,M,00:46:20,02:58:00,02:36:48,06:37:56
103,DORIVAL MODOLON,50-54,M,00:42:26,02:57:36,02:42:48,06:37:57
237,ELIAS HIGINO DOS SANTOS NETO,45-49,M,00:46:06,02:55:02,02:47:09,06:38:18
61,PATRICIA BIRMAN,35-39,M,00:47:38,03:20:58,02:24:15,06:46:01
35,RENATA DUARTE,30-34,M,00:39:50,03:16:24,02:34:01,06:46:28
62,THACYANA DE VALOIS SILVA,35-39,M,00:49:44,03:06:59,02:36:37,06:46:42
96,MARCELO CLARETE SERACINI PENNER,25-29,M,01:07:32,03:14:53,02:11:55,06:47:52
36,MAÍSA MASSI KUMURA,30-34,M,00:36:25,03:13:43,02:48:44,06:49:05
26,MICHELLE FERRARI BURGI,25-29,M,00:44:26,02:58:45,02:49:06,06:49:28
37,NATALIA BOTTARO,30-34,M,00:36:41,03:11:47,02:44:26,06:51:39
57,NELIZA SCOPEL,40-44,M,00:42:43,03:16:08,02:35:57,06:52:10
97,JOAO HENRIQUE SCICCHITANO ORSI,25-29,M,00:45:44,03:08:54,02:34:04,06:52:40
320,PABLO AUDIBERT ROSINA,35-39,M,00:43:10,03:25:06,02:32:53,06:53:00
44,FLAVIANE STROPPA MOREIRA VITORINO,45-49,M,00:43:18,03:07:43,02:44:23,06:54:08
251,CLAUDIO GARBI,45-49,M,00:50:37,02:57:07,02:54:31,06:54:31
323,DANIEL PAGNOZZI,35-39,M,00:39:40,03:55:56,02:10:55,06:56:40
47,AMANDA BENZION,45-49,M,00:50:55,03:16:38,02:42:35,07:03:51
65,ANA LIDIA MOURA CAVALCANTE,35-39,M,00:43:50,02:58:14,03:12:00,07:05:27
223,ZOLTAN BALINT,30-34,M,00:54:14,03:43:56,02:19:37,07:09:14
50,SABRINA MÉDICI MATIAS,45-49,M,00:44:10,03:07:49,03:02:52,07:12:36
331,ANTONIO CARLOS VAZ JUNIOR,35-39,M,00:41:54,03:17:07,02:54:52,07:17:14
381,FREDERICO BARROS,40-44,M,00:34:44,03:32:36,02:47:57,07:21:45
52,SANDRA ROSA,45-49,M,00:59:53,03:18:34,02:50:01,07:22:59
334,DIOGO LOPES,35-39,M,00:49:13,03:18:07,03:04:18,07:27:32
273,AIRTON DOS SANTOS MORAES,45-49,M,00:55:13,03:25:40,02:56:07,07:33:49
7,NOELLE MATIAS,18-24,M,00:46:52,03:31:52,02:48:01,07:37:13
64,ANDRESSA SALLES GONÇALVES PAIS,40-44,M,00:49:17,03:40:46,02:51:02,07:37:41
390,MARCOS TADEU SANTARÉM RODRIGUES JUNIOR,40-44,M,00:51:59,03:13:39,03:22:44,07:47:21
393,WLADIMIR WINTER,40-44,M,00:56:55,03:34:07,03:20:31,08:13:13
99999,INGRID DOS SANTOS,40-44,M,00:53:47,02:05:27,02:02:16,05:34:55
