Pos,Nome,Categ,Swim,Bike,Run,Total
65,VICTOR GARIBALDI,35-39,00:32:04,02:39:31,01:58:02,05:13:55
27,VINICIUS MAGALHAES,25-29,00:35:56,02:51:14,01:40:24,05:14:30
17,JOAO FUENTES,45-49,00:37:09,02:42:47,01:47:48,05:14:37
63,GUILHERME AMARAL,30-34,00:27:08,02:41:23,02:01:43,05:14:46
11,GABRIEL DA SILVA,18-24,00:29:08,02:56:21,01:42:34,05:14:52
64,FILIPE NOVELLO,30-34,00:36:53,02:42:56,01:53:19,05:14:59
Pos,Nome,Categ,Swim,Bike,Run,Total
42,FELIPE MEIHY,40-44,00:35:45,02:43:23,01:53:38,05:15:05
67,WALTER ANDRADE JUNIOR,35-39,00:36:58,02:38:48,01:52:04,05:15:44
18,LUIZ ANTONIO TALARICO BARATA,45-49,00:32:40,02:45:05,01:54:32,05:15:59
43,CIRO ALBINO,40-44,00:34:33,02:49:04,01:51:07,05:16:42
65,RAFAEL NEMOTO,30-34,00:42:02,02:43:28,01:43:37,05:16:47
44,JONI QUIRINO,40-44,00:41:04,02:39:16,01:48:29,05:17:16
67,RAUL RIZZO BASTOS,30-34,00:36:06,02:44:16,01:55:00,05:17:21
45,ANDERSON LOPES,40-44,00:35:55,02:50:28,01:45:02,05:17:22
28,PEDRO ZARUR,25-29,00:31:17,02:49:39,01:54:58,05:17:35
46,GIANMARCO LIBANO,40-44,00:36:16,02:46:14,01:51:56,05:17:48
29,JOAO PEDRO GAYOSO,25-29,00:34:26,02:44:31,01:51:54,05:18:01
68,LUIZ HENRIQUE,35-39,00:34:21,02:47:46,01:49:37,05:18:05
68,IGOR DINIZ,30-34,00:36:49,02:32:26,02:02:58,05:18:06
69,ANDRE VILHENA,35-39,00:33:32,02:44:30,01:51:49,05:18:12
70,SOMULO MAFRA,35-39,00:35:53,02:46:43,01:52:35,05:18:18
21,LUIZ CLAUDIO MANDARINO FREIRE,45-49,00:37:17,02:54:54,01:37:13,05:18:29
3,FERNANDO RUSSO,55-59,00:37:42,02:38:27,01:57:03,05:18:42
71,DANIEL JORGE MONTEIRO LIMA BARREIROS,35-39,00:32:34,02:38:01,02:01:39,05:18:46
69,MAURO MALUF,30-34,00:37:41,02:45:33,01:48:02,05:18:47
72,VINICIUS MENDES COLTRI,35-39,00:34:20,02:46:29,01:51:04,05:18:49
73,LEONARDO COSTA,35-39,00:32:08,02:47:58,01:52:15,05:18:56
70,BRUNO PESTANA,30-34,00:31:35,02:54:26,01:51:25,05:19:10
74,EDER PAULO VIEIRA MAETA,35-39,00:37:06,02:45:48,01:48:49,05:19:11
75,JORGE ARANTES,35-39,00:39:50,02:38:23,01:54:46,05:19:12
71,RICARDO CHEACHIRE,30-34,00:37:15,02:42:17,01:49:21,05:19:31
76,ALEXANDRE MANGABEIRA,35-39,00:31:44,02:40:22,01:59:04,05:19:40
77,ALEXSANDRO LEITE,35-39,00:35:42,02:45:04,01:52:43,05:19:40
48,BERNARDO GIFFONI,40-44,00:35:10,02:42:41,01:55:57,05:19:46
78,RODRIGO SOARES DE MAGALHÃES,35-39,00:38:57,02:38:24,01:53:35,05:19:52
23,VALTER VOLKMER,45-49,00:35:01,02:42:11,02:00:39,05:19:56
Pos,Nome,Categ,Swim,Bike,Run,Total
49,DIOGO MENEGAZ,40-44,00:31:16,02:44:36,01:56:53,05:20:14
50,RODRIGO GODINHO,40-44,00:37:11,02:35:23,02:02:09,05:20:14
72,VICTOR DE FREITAS TAVARES,30-34,00:27:55,02:55:16,01:55:12,05:20:24
24,GUSTAVO BRAGA,45-49,00:34:55,02:52:29,01:48:14,05:20:28
51,MARCELO TORRES,40-44,00:37:09,02:35:14,02:00:30,05:20:29
73,HENRIQUE SALES,30-34,00:34:54,02:43:16,01:54:29,05:20:33
13,LUIS FELIPE WRIGHT,50-54,00:32:26,02:41:17,01:59:45,05:20:47
52,LUIZ CRUZ,40-44,00:36:14,02:42:28,01:56:02,05:20:51
12,FELIPE KAWAKAMI,18-24,00:35:27,02:46:20,01:53:17,05:20:54
74,MALTE BUENTING,30-34,00:40:28,02:48:05,01:48:01,05:20:57
79,BRUNO GARCIA,35-39,00:33:28,02:45:19,01:53:29,05:21:30
80,CARLOS AUGUSTO GUTIERREZ,35-39,00:43:16,02:39:10,01:51:25,05:21:35
13,LUCAS THOMPSON,18-24,00:32:18,03:00:36,01:46:01,05:21:45
2,ANA LUIZA AMOEDO,25-29,00:35:56,02:55:38,01:45:09,05:21:48
75,RODRIGO CARTOLANO,30-34,00:35:16,02:44:02,01:55:15,05:21:51
31,WALLACE DA COSTA KASPRZYKOWSKI,25-29,00:37:10,02:54:12,01:47:24,05:21:54
81,RENATO BORGES BARBOSA,35-39,00:33:24,02:43:29,01:57:58,05:22:00
53,ALEXANDRE ROCHA,40-44,00:34:54,02:54:05,01:50:10,05:22:22
82,SAULO FILHO,35-39,00:35:04,02:48:43,01:56:33,05:22:27
83,FREDSON DA SILVA FERREIRA,35-39,00:35:40,02:46:53,01:50:04,05:22:27
84,OSVALDEMIR JUNIOR,35-39,00:34:31,02:43:10,01:58:20,05:22:33
85,FELIPE STEINER,35-39,00:37:18,02:51:54,01:50:21,05:22:37
5,CAROLINA LIMA,30-34,00:36:55,02:49:36,01:48:47,05:22:40
6,ANNA KAROLINA BARROS,30-34,00:35:12,02:50:19,01:51:52,05:22:47
3,FERNANDA AZEVEDO,40-44,00:40:12,02:44:07,01:50:13,05:23:21
87,FERNANDO DE OLIVEIRA DOMINGUES LADEIRA,35-39,00:34:39,02:48:17,01:53:08,05:23:24
76,FELIPE BURNIER CLAUSET,30-34,00:33:17,02:43:26,01:58:34,05:23:42
25,SERGIO BRITTO,45-49,00:34:30,02:38:32,02:05:35,05:23:44
26,MARCELO DE OLIVEIRA  HIRGA,45-49,00:35:42,02:47:05,01:58:57,05:23:46
88,FABIO JOSE PESTANA,35-39,00:39:43,02:44:59,01:57:26,05:23:55
Pos,Nome,Categ,Swim,Bike,Run,Total
89,ANDRE LUIS ALMEIDA DO CARMO,35-39,00:30:25,02:40:28,02:06:29,05:24:00
90,LUCIANO LIMA,35-39,00:30:10,02:52:27,01:55:48,05:24:11
5,FABIOLA VIEIRA,35-39,00:43:24,02:48:49,01:45:10,05:24:16
6,ELAINE TOLEDO,35-39,00:39:47,02:51:35,01:45:49,05:24:20
